minUtil: 4804
111: 8.85: 17052
380: 8.84: 4880
1348: 8.83: 14326
1306: 8.83: 10127
584: 8.8: 12173
1432: 8.77: 9180
1444: 8.77: 10384
1397: 8.76: 5577
231: 8.75: 14575
863: 8.74: 14006
1526: 8.73: 8085
422: 8.73: 17616
236: 8.72: 9412
55: 8.72: 15750
497: 8.66: 10472
606: 8.66: 12720
1268: 8.66: 7150
1043: 8.65: 6908
1470: 8.64: 11327
1210: 8.63: 9681
883: 8.63: 13041
1522: 8.62: 6147
1384: 8.61: 12593
1296: 8.6: 14548
626: 8.6: 4902
389: 8.59: 8771
1098: 8.58: 6255
946: 8.55: 13965
943: 8.54: 10621
1499: 8.53: 6255
1310: 8.53: 19102
108: 8.52: 9417
260: 8.51: 11592
772: 8.5: 9894
414: 8.49: 12188
844: 8.48: 14564
580: 8.45: 12532
170: 8.45: 14080
1089: 8.41: 10621
502: 8.39: 16801
1543: 8.36: 10912
44: 8.34: 12298
379: 8.34: 15785
469: 8.32: 6837
493: 8.31: 12408
625: 8.31: 9821
825: 8.29: 12452
154: 8.29: 9016
321: 8.28: 12291
1247: 8.26: 8064
1340: 8.25: 13107
324: 8.24: 7289
508: 8.23: 17055
577: 8.22: 11004
448: 8.21: 9086
673: 8.2: 11782
20: 8.2: 14178
968: 8.19: 5760
1160: 8.19: 13517
795: 8.18: 4992
1389: 8.17: 15254
1251: 8.15: 14320
1483: 8.14: 8520
1075: 8.12: 6314
227: 8.09: 7722
1174: 8.09: 8853
1468: 8.08: 5670
443: 8.08: 6783
1294: 8.07: 7052
1061: 8.07: 8466
1050: 8.06: 5632
1180: 8.06: 19890
173: 8.06: 6864
819: 8.06: 11634
823: 8.05: 15435
1077: 8.05: 15455
951: 8.05: 9457
225: 8.04: 22951
1478: 8.03: 9044
1056: 8.03: 10835
284: 8.02: 4950
521: 8.02: 14155
1165: 8.01: 12690
907: 8.01: 17100
1154: 8.01: 7304
464: 8.01: 14952
1380: 7.99: 19548
703: 7.98: 13959
980: 7.98: 7740
117: 7.97: 10175
919: 7.96: 6930
1079: 7.96: 7072
528: 7.96: 5952
541: 7.95: 8272
313: 7.94: 16245
1518: 7.94: 20416
376: 7.93: 9988
479: 7.93: 8385
563: 7.92: 6216
774: 7.9: 12005
650: 7.88: 8370
415: 7.88: 11640
618: 7.88: 5600
721: 7.86: 9485
374: 7.83: 6407
153: 7.83: 14144
1410: 7.82: 6536
742: 7.8: 12350
1346: 7.77: 10105
851: 7.76: 9030
836: 7.75: 5428
877: 7.74: 8374
529: 7.74: 10074
878: 7.74: 9724
913: 7.74: 7476
1029: 7.74: 8736
1254: 7.73: 14680
1116: 7.73: 11377
375: 7.72: 8931
1250: 7.71: 10368
1086: 7.69: 10365
816: 7.69: 10992
924: 7.69: 14040
1372: 7.69: 10458
1237: 7.68: 13750
834: 7.67: 10656
915: 7.67: 12341
49: 7.66: 17238
824: 7.64: 10550
992: 7.64: 9486
787: 7.64: 5662
1241: 7.62: 12516
1463: 7.62: 8118
600: 7.62: 9471
1416: 7.62: 12788
24: 7.6: 10726
619: 7.59: 10575
555: 7.59: 12960
1540: 7.59: 14432
418: 7.58: 14536
1368: 7.57: 19525
1019: 7.56: 11968
385: 7.55: 5148
1493: 7.55: 16632
191: 7.54: 12054
882: 7.54: 12201
1142: 7.54: 11800
922: 7.53: 12950
853: 7.52: 12804
261: 7.52: 12844
789: 7.51: 12670
125: 7.51: 9737
756: 7.5: 13393
179: 7.5: 17875
410: 7.49: 6174
488: 7.49: 10101
522: 7.49: 8140
1408: 7.49: 9805
1222: 7.48: 9555
1252: 7.48: 11391
811: 7.48: 14256
1366: 7.46: 11311
534: 7.46: 11491
854: 7.45: 7040
365: 7.45: 17424
832: 7.45: 15552
82: 7.45: 12150
575: 7.44: 13769
1063: 7.43: 14303
739: 7.43: 8568
547: 7.41: 9702
730: 7.39: 8084
800: 7.39: 11729
792: 7.39: 7668
370: 7.38: 4968
1007: 7.37: 13166
1418: 7.36: 6279
662: 7.35: 7585
288: 7.35: 10582
1088: 7.34: 15604
805: 7.33: 9216
1070: 7.32: 13689
1361: 7.32: 7240
556: 7.3: 13975
767: 7.3: 6662
963: 7.3: 12000
303: 7.29: 9030
189: 7.29: 14835
546: 7.28: 10842
129: 7.28: 5115
914: 7.27: 9594
285: 7.27: 7626
942: 7.26: 7722
468: 7.26: 7830
691: 7.26: 11685
1538: 7.26: 11893
158: 7.26: 6004
1094: 7.26: 17342
1324: 7.25: 12578
346: 7.24: 9752
937: 7.24: 19133
1358: 7.22: 6720
234: 7.22: 12690
11: 7.21: 16497
100: 7.2: 8580
1497: 7.19: 19406
1279: 7.18: 11840
1055: 7.18: 5184
1096: 7.17: 9984
491: 7.17: 14742
957: 7.17: 10395
17: 7.16: 11063
923: 7.16: 7056
887: 7.14: 7200
408: 7.14: 11000
322: 7.14: 13112
495: 7.14: 5265
1267: 7.13: 7520
149: 7.13: 11952
1114: 7.13: 11286
377: 7.13: 10290
300: 7.12: 14700
387: 7.12: 13014
715: 7.11: 6665
753: 7.11: 8315
1001: 7.11: 12852
1277: 7.1: 8890
283: 7.09: 14469
503: 7.07: 8742
10: 7.07: 5538
46: 7.06: 11008
1190: 7.06: 6110
178: 7.06: 5320
865: 7.05: 9758
1179: 7.04: 11046
874: 7.04: 7146
1134: 7.03: 7098
1376: 7.03: 6720
958: 7.03: 6392
1417: 7.03: 13357
1412: 7.03: 7137
639: 7.03: 15415
1081: 7.03: 15423
1272: 7.02: 12152
860: 7.02: 10296
934: 7.01: 5610
1209: 7.01: 10530
991: 7.01: 13650
1506: 7.0: 9604
891: 6.99: 12844
223: 6.97: 14036
1353: 6.97: 8064
1184: 6.96: 11928
1328: 6.96: 10165
953: 6.96: 8768
727: 6.95: 7640
725: 6.95: 6407
667: 6.94: 10906
1117: 6.93: 14560
339: 6.93: 6300
446: 6.93: 20625
516: 6.93: 7770
80: 6.92: 17060
1062: 6.91: 8330
1049: 6.91: 15327
489: 6.9: 12291
104: 6.89: 15171
48: 6.89: 6204
269: 6.89: 8520
896: 6.88: 13127
1106: 6.88: 6073
760: 6.86: 6919
1398: 6.86: 17002
1386: 6.86: 7544
1544: 6.85: 5256
1145: 6.85: 6594
1554: 6.84: 8636
312: 6.84: 8520
1028: 6.83: 8960
1455: 6.82: 10364
67: 6.82: 10416
23: 6.81: 5600
202: 6.8: 5364
1438: 6.79: 5754
1530: 6.78: 6096
1485: 6.77: 6750
22: 6.77: 10763
394: 6.77: 12520
747: 6.76: 7137
751: 6.76: 11607
560: 6.76: 5160
58: 6.75: 8778
63: 6.74: 12390
898: 6.72: 7308
911: 6.71: 5910
1383: 6.71: 9583
1136: 6.71: 15162
587: 6.69: 10464
1465: 6.69: 11430
999: 6.69: 10027
1363: 6.68: 9044
1242: 6.68: 7326
83: 6.68: 20563
16: 6.67: 13788
138: 6.67: 9180
554: 6.66: 14130
136: 6.66: 13932
105: 6.66: 13020
174: 6.66: 5472
1491: 6.65: 9030
931: 6.65: 6270
785: 6.64: 7517
341: 6.64: 9418
9: 6.63: 9922
1082: 6.63: 8404
33: 6.62: 6936
28: 6.61: 14076
609: 6.61: 13986
952: 6.61: 11931
137: 6.61: 17020
333: 6.59: 6336
95: 6.59: 5548
438: 6.58: 5404
1459: 6.57: 7007
548: 6.56: 10433
68: 6.55: 12104
274: 6.55: 16456
430: 6.55: 7920
480: 6.54: 6927
299: 6.54: 5880
1152: 6.54: 10520
369: 6.54: 8042
856: 6.53: 10755
1259: 6.53: 7918
131: 6.53: 8160
902: 6.52: 5043
523: 6.52: 6536
537: 6.51: 9010
1312: 6.5: 5508
437: 6.5: 5910
373: 6.5: 11311
1500: 6.5: 9640
1457: 6.5: 9018
803: 6.49: 13338
1067: 6.49: 5742
559: 6.48: 13983
653: 6.48: 10286
53: 6.48: 14801
1492: 6.48: 5467
196: 6.48: 8645
8: 6.47: 12691
1156: 6.46: 6916
372: 6.46: 10746
519: 6.46: 12606
292: 6.44: 5611
864: 6.43: 6189
1550: 6.43: 8869
316: 6.43: 5764
182: 6.43: 6440
1437: 6.43: 6090
409: 6.42: 18768
1159: 6.42: 15498
544: 6.41: 10915
130: 6.41: 9366
442: 6.41: 9184
862: 6.41: 10101
656: 6.41: 13475
123: 6.4: 14976
1002: 6.4: 11308
613: 6.4: 5824
323: 6.38: 15400
235: 6.38: 15265
1489: 6.38: 7266
1253: 6.38: 7182
140: 6.36: 6188
921: 6.36: 6345
1329: 6.36: 5280
1213: 6.35: 12301
160: 6.35: 7668
1066: 6.33: 11271
702: 6.33: 18048
1379: 6.33: 5952
1323: 6.32: 8232
675: 6.32: 10770
568: 6.31: 12654
807: 6.3: 5499
186: 6.3: 9366
402: 6.3: 4851
1504: 6.28: 5082
218: 6.27: 14448
72: 6.27: 8768
835: 6.26: 14309
7: 6.25: 8352
242: 6.25: 10101
1248: 6.25: 12653
610: 6.23: 11577
268: 6.23: 5536
1375: 6.23: 8733
78: 6.22: 8103
798: 6.21: 10569
690: 6.21: 5328
1336: 6.2: 14916
1146: 6.2: 12336
652: 6.19: 5010
1107: 6.18: 9990
930: 6.18: 6512
1345: 6.17: 16927
121: 6.16: 11920
899: 6.16: 7296
1006: 6.15: 8988
504: 6.15: 6992
474: 6.15: 16192
1076: 6.15: 14580
1502: 6.14: 11521
1402: 6.13: 10360
356: 6.12: 8496
553: 6.12: 6303
273: 6.12: 8284
277: 6.12: 9881
695: 6.12: 14432
518: 6.12: 6664
840: 6.12: 5206
445: 6.11: 14878
933: 6.11: 12844
143: 6.11: 8118
530: 6.11: 16168
1278: 6.11: 14382
614: 6.1: 18522
1343: 6.1: 11767
700: 6.1: 6695
204: 6.09: 5440
406: 6.09: 7051
972: 6.09: 7359
1411: 6.09: 7220
532: 6.09: 15867
188: 6.09: 9030
1320: 6.09: 8246
657: 6.08: 7632
201: 6.08: 6975
330: 6.08: 14726
940: 6.07: 11360
85: 6.07: 5032
533: 6.06: 8228
1177: 6.06: 7700
1047: 6.06: 11951
1227: 6.05: 8992
1080: 6.04: 10074
676: 6.04: 12824
1359: 6.04: 5828
1093: 6.04: 15174
34: 6.04: 6421
689: 6.03: 6864
1099: 6.02: 13932
436: 6.02: 6579
876: 6.02: 6156
1150: 6.02: 15631
270: 6.02: 11424
714: 6.02: 9720
152: 6.01: 10115
1162: 6.01: 6195
102: 6.0: 11270
51: 6.0: 5586
1313: 5.99: 12152
13: 5.98: 9540
848: 5.97: 8357
744: 5.96: 14467
360: 5.96: 5371
648: 5.95: 7888
164: 5.95: 11286
1085: 5.94: 7168
750: 5.94: 5460
1130: 5.93: 6665
623: 5.93: 5040
145: 5.93: 8172
986: 5.92: 13650
1115: 5.92: 7750
1555: 5.92: 14160
722: 5.92: 8773
1205: 5.91: 7800
661: 5.91: 8424
550: 5.91: 9360
779: 5.91: 6154
65: 5.91: 10904
193: 5.91: 12510
413: 5.9: 7650
1431: 5.9: 10434
155: 5.9: 13335
861: 5.89: 9065
397: 5.89: 4995
765: 5.88: 6144
950: 5.88: 13533
1556: 5.88: 9805
892: 5.87: 8463
1245: 5.87: 8116
680: 5.86: 4998
1290: 5.86: 11235
729: 5.85: 4988
936: 5.85: 10842
344: 5.84: 8661
1218: 5.84: 4941
712: 5.84: 17028
1534: 5.84: 10842
42: 5.84: 9306
1374: 5.84: 13005
1435: 5.83: 10336
245: 5.83: 6407
467: 5.82: 12192
1529: 5.82: 13407
52: 5.82: 6944
719: 5.82: 5390
455: 5.81: 7224
884: 5.81: 12480
755: 5.81: 9238
909: 5.81: 5735
869: 5.8: 6572
275: 5.8: 11118
928: 5.79: 5115
1325: 5.78: 4862
363: 5.78: 8008
578: 5.77: 8244
25: 5.77: 5735
492: 5.76: 9381
1527: 5.76: 9688
358: 5.76: 13125
1498: 5.75: 7353
74: 5.75: 4867
290: 5.74: 6284
987: 5.74: 9065
366: 5.73: 9676
423: 5.72: 5733
60: 5.72: 5852
647: 5.71: 10138
605: 5.71: 6136
99: 5.7: 8260
607: 5.7: 9174
1044: 5.7: 5080
465: 5.69: 10030
190: 5.69: 14960
208: 5.69: 6175
1191: 5.68: 5670
783: 5.67: 10127
1155: 5.67: 7144
1054: 5.67: 6068
572: 5.67: 9530
31: 5.66: 6200
1095: 5.65: 5372
183: 5.65: 7230
237: 5.65: 7769
325: 5.65: 6342
1401: 5.65: 5084
879: 5.65: 4884
229: 5.65: 8697
1430: 5.64: 13440
962: 5.64: 8602
1175: 5.64: 6401
1326: 5.64: 5985
512: 5.63: 12056
476: 5.63: 11284
433: 5.63: 7829
66: 5.62: 11352
1387: 5.62: 14658
872: 5.62: 6804
487: 5.61: 10400
1511: 5.61: 6240
1269: 5.6: 13895
829: 5.6: 5642
517: 5.6: 9516
1072: 5.6: 6240
797: 5.59: 8541
1148: 5.59: 8070
515: 5.58: 6685
1354: 5.58: 5920
736: 5.57: 7242
395: 5.57: 9324
1360: 5.57: 7260
141: 5.57: 13362
527: 5.57: 6426
678: 5.56: 12546
761: 5.56: 6792
659: 5.56: 12519
1025: 5.56: 5213
808: 5.53: 5282
107: 5.53: 6335
624: 5.52: 10824
216: 5.51: 10440
593: 5.51: 4862
881: 5.5: 8507
1147: 5.49: 5822
1240: 5.49: 10385
403: 5.49: 5890
1285: 5.48: 8041
1367: 5.47: 11424
569: 5.47: 11692
1120: 5.47: 7011
1168: 5.47: 12988
320: 5.47: 16947
1073: 5.46: 12765
1344: 5.46: 5470
362: 5.45: 16674
1074: 5.45: 11894
354: 5.44: 8100
1297: 5.44: 6474
457: 5.44: 6095
1196: 5.43: 10220
342: 5.43: 5400
30: 5.43: 8319
885: 5.42: 4962
484: 5.42: 12376
1225: 5.42: 5160
595: 5.41: 5254
1421: 5.41: 7952
1216: 5.41: 6963
959: 5.4: 5100
1477: 5.39: 7830
1342: 5.38: 11936
306: 5.37: 14652
1403: 5.37: 7564
843: 5.36: 10584
574: 5.36: 10680
912: 5.36: 8153
1200: 5.35: 7667
663: 5.35: 5632
1139: 5.35: 10868
84: 5.34: 8149
965: 5.33: 5661
47: 5.32: 6682
1429: 5.32: 8880
96: 5.31: 6541
1321: 5.31: 6723
249: 5.31: 8421
1499, 1056: 1.52: 4891
890, 191: 1.37: 5715
819, 1279: 1.27: 6303
419, 1511: 1.18: 5127
1282, 1066: 1.17: 5408
789, 556: 1.1: 5496
789, 1248: 0.99: 4865
1506, 487: 0.93: 5167
890, 1410, 1493: 0.91: 4876
988, 1431: 0.9: 6949
890, 1493, 191: 0.88: 5681
491, 1227: 0.88: 5407
1399, 1426: 0.86: 5680
285, 1094: 0.86: 4881
111, 937: 0.81: 4963
916, 379, 922: 0.78: 5532
222, 1497: 0.78: 5726
365, 53: 0.73: 4938
1399, 1426, 1365: 0.7: 6104
82, 792, 193: 0.7: 5474
952, 559: 0.69: 5060
1426, 727: 0.67: 6589
1338, 1049: 0.67: 5928
896, 530: 0.63: 5686
1161, 512: 0.62: 5423
890, 1410, 191: 0.61: 5301
1389, 1279: 0.61: 5360
136, 702: 0.58: 5010
932, 449, 387, 193: 0.57: 4833
1077, 721: 0.56: 4892
932, 449, 193, 936: 0.55: 5222
890, 1410, 1493, 191: 0.54: 6885
1493, 164: 0.52: 4851
449, 387, 193, 936: 0.48: 5150
656, 13: 0.48: 4815
1399, 1426, 1043, 1365: 0.47: 5106
656, 323, 623: 0.47: 5815
932, 449, 387, 193, 936: 0.46: 5945
1426, 1093: 0.46: 4959
918, 136, 702: 0.43: 6495
1110, 261, 987: 0.43: 6118
1472, 1389, 819: 0.43: 4851
446, 80, 729: 0.42: 5460
932, 449, 387, 193, 1325: 0.41: 5119
932, 449, 193, 936, 1325: 0.4: 5508
1399, 1426, 1043, 217: 0.4: 5128
946, 154, 1136, 1529: 0.4: 5037
285, 1094, 518: 0.38: 5969
1373, 1444, 502, 834, 358: 0.37: 4827
1161, 1554, 751, 512: 0.37: 4838
988, 1281: 0.36: 5826
1180, 614: 0.36: 6912
449, 387, 193, 936, 1325: 0.35: 5436
1472, 170: 0.35: 4860
313, 1538, 80: 0.35: 5818
1399, 1426, 1043, 217, 1365: 0.34: 5446
1436, 111, 937: 0.34: 5607
1389, 819, 1279: 0.34: 5899
932, 449, 387, 193, 936, 1325: 0.33: 6231
1426, 727, 1365: 0.3: 5318
1373, 1357, 1444, 502, 358: 0.29: 5048
1373, 1357, 502, 834, 358: 0.28: 4936
932, 449, 283, 193: 0.28: 5202
640, 324, 234: 0.28: 4947
502, 968, 415: 0.28: 5152
1338, 789, 1049, 1028, 373, 1248: 0.27: 5313
1210, 844, 1493: 0.27: 5114
1118, 502, 968: 0.26: 4873
919, 1179, 896, 530: 0.26: 5612
932, 283, 193, 936: 0.25: 4838
1399, 1426, 1043, 1542: 0.25: 5263
391, 957, 341, 807: 0.25: 5756
449, 387, 283, 193: 0.25: 5130
94, 976, 11, 999, 1459, 610, 1403: 0.25: 4831
489, 532: 0.25: 5557
1373, 1357, 1444, 502, 834, 358: 0.24: 5640
1161, 1544, 1554, 751, 512: 0.24: 5422
69, 435, 1290: 0.24: 5484
1426, 1043, 1542, 727: 0.24: 4807
449, 283, 193, 936: 0.24: 5519
379, 662, 446, 656: 0.24: 5345
932, 449, 387, 283, 193: 0.23: 5925
932, 449, 387, 283, 936: 0.23: 5198
1118, 502, 415: 0.23: 6014
988, 772: 0.23: 7188
825, 225, 488, 1191, 881: 0.23: 5003
1012, 823, 1405, 30: 0.22: 5092
932, 449, 283, 193, 936: 0.22: 6314
1291, 941, 914: 0.22: 5226
304, 813, 1256, 1529: 0.21: 5336
932, 387, 283, 193, 936: 0.21: 5561
1257, 49, 1374: 0.21: 5409
1217, 108, 1517, 1007, 963, 574: 0.21: 4818
1338, 789, 1028, 373, 1248, 972: 0.21: 5196
932, 449, 170, 193: 0.2: 5070
932, 449, 283, 193, 1325: 0.2: 5488
1161, 1554, 9, 512: 0.2: 5149
449, 387, 283, 193, 936: 0.2: 6242
952, 316, 892, 1269: 0.2: 4907
1161, 1544, 1554, 751, 9: 0.19: 5020
1161, 1554, 202, 751, 512: 0.19: 5434
932, 449, 387, 283, 193, 936: 0.18: 7037
932, 283, 193, 936, 1325: 0.18: 5124
1161, 1554, 751, 9, 512: 0.18: 5806
1399, 1426, 1043, 1542, 1365: 0.18: 5581
449, 387, 283, 193, 1325: 0.18: 5416
932, 449, 170, 387, 193: 0.17: 5793
932, 449, 170, 387, 936: 0.17: 5066
932, 449, 387, 283, 193, 1325: 0.17: 6211
932, 449, 387, 283, 936, 1325: 0.17: 5484
1161, 1544, 202, 751, 512: 0.17: 5002
1399, 1426, 727: 0.17: 7208
1426, 217, 727: 0.17: 5697
883, 1463, 446, 80, 722, 512: 0.17: 5082
932, 449, 170, 193, 936: 0.16: 6182
932, 449, 283, 193, 936, 1325: 0.16: 6600
1161, 1544, 751, 9, 512: 0.16: 5374
1399, 1426, 1043, 217, 1542: 0.16: 5603
1118, 502, 968, 415: 0.16: 6910
1104, 1470, 1174, 1180, 1380: 0.16: 4853
634, 497, 1050, 1200: 0.15: 4910
932, 387, 283, 193, 936, 1325: 0.15: 5847
1161, 1554, 202, 751, 9: 0.15: 5032
1045, 529, 136, 519: 0.15: 5050
932, 449, 170, 387, 193, 936: 0.14: 6905
932, 449, 170, 193, 1325: 0.14: 5356
932, 170, 387, 193, 936: 0.14: 5429
1161, 1544, 1554, 202, 512: 0.14: 5361
1217, 108, 1007, 8, 574: 0.14: 4922
449, 387, 283, 193, 936, 1325: 0.14: 6528
1338, 789, 1049, 1028, 1248, 972: 0.14: 4878
883, 446, 80, 722, 729, 512: 0.14: 4806
937, 1047: 0.14: 5111
304, 813, 254, 1529: 0.13: 4818
932, 449, 387, 283, 193, 936, 1325: 0.13: 7323
932, 170, 193, 936, 1325: 0.13: 4992
1161, 1544, 1554, 9, 512: 0.13: 5733
1161, 202, 751, 9, 512: 0.13: 5386
1257, 558, 49, 1374: 0.13: 5969
932, 449, 170, 387, 193, 1325: 0.12: 6079
932, 449, 170, 387, 936, 1325: 0.12: 5352
932, 449, 170, 193, 936, 1325: 0.12: 6468
1161, 1544, 1554, 202, 751, 512: 0.12: 6018
1161, 1544, 1554, 751, 9, 512: 0.12: 6390
520, 266, 1098, 803, 476: 0.12: 4995
1291, 1417, 785, 702: 0.12: 4814
640, 104, 940: 0.12: 5746
1217, 108, 1517, 1007, 8, 574: 0.12: 5153
883, 1463, 446, 722, 729, 512: 0.12: 4872
1292, 1019, 17, 104: 0.11: 5198
1161, 1544, 1554, 202, 9: 0.11: 4959
1399, 1426, 727, 1365: 0.11: 7632
1291, 941, 914, 958: 0.11: 5906
1217, 108, 963, 8, 574: 0.11: 4974
1217, 1007, 963, 8, 574: 0.11: 5006
819, 1279, 430: 0.11: 5844
1351, 625, 824, 835: 0.1: 5495
932, 449, 170, 387, 193, 936, 1325: 0.1: 7191
932, 170, 387, 193, 936, 1325: 0.1: 5715
1161, 1554, 202, 9, 512: 0.1: 5745
520, 266, 942, 803, 476: 0.1: 4907
988, 339, 1431: 0.1: 6000
932, 449, 170, 387, 283: 0.09: 5046
1161, 1544, 1554, 202, 751, 9: 0.09: 5616
1161, 1544, 202, 9, 512: 0.09: 5313
1161, 1554, 202, 751, 9, 512: 0.09: 6402
520, 266, 803, 476, 736: 0.09: 5078
520, 1098, 803, 476, 736: 0.09: 4824
1362, 946, 742: 0.09: 4827
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 11511
 Algorithm run time : 6 seconds
 Peak memory usage : 0.21 MB
