minUtil: 4804
111: 8.85: 17052
380: 8.84: 4880
1348: 8.83: 14326
1306: 8.83: 10127
584: 8.8: 12173
1432: 8.77: 9180
1444: 8.77: 10384
1397: 8.76: 5577
231: 8.75: 14575
863: 8.74: 14006
1526: 8.73: 8085
422: 8.73: 17616
236: 8.72: 9412
55: 8.72: 15750
497: 8.66: 10472
606: 8.66: 12720
1268: 8.66: 7150
1043: 8.65: 6908
1470: 8.64: 11327
1210: 8.63: 9681
883: 8.63: 13041
1522: 8.62: 6147
1384: 8.61: 12593
1296: 8.6: 14548
626: 8.6: 4902
389: 8.59: 8771
1098: 8.58: 6255
946: 8.55: 13965
943: 8.54: 10621
1499: 8.53: 6255
1310: 8.53: 19102
108: 8.52: 9417
260: 8.51: 11592
772: 8.5: 9894
414: 8.49: 12188
844: 8.48: 14564
580: 8.45: 12532
170: 8.45: 14080
1089: 8.41: 10621
502: 8.39: 16801
1543: 8.36: 10912
44: 8.34: 12298
379: 8.34: 15785
469: 8.32: 6837
493: 8.31: 12408
625: 8.31: 9821
825: 8.29: 12452
154: 8.29: 9016
321: 8.28: 12291
1247: 8.26: 8064
1340: 8.25: 13107
324: 8.24: 7289
508: 8.23: 17055
577: 8.22: 11004
448: 8.21: 9086
673: 8.2: 11782
20: 8.2: 14178
968: 8.19: 5760
1160: 8.19: 13517
795: 8.18: 4992
1389: 8.17: 15254
1251: 8.15: 14320
1483: 8.14: 8520
1075: 8.12: 6314
227: 8.09: 7722
1174: 8.09: 8853
1468: 8.08: 5670
443: 8.08: 6783
1294: 8.07: 7052
1061: 8.07: 8466
1050: 8.06: 5632
1180: 8.06: 19890
173: 8.06: 6864
819: 8.06: 11634
823: 8.05: 15435
1077: 8.05: 15455
951: 8.05: 9457
225: 8.04: 22951
1478: 8.03: 9044
1056: 8.03: 10835
284: 8.02: 4950
521: 8.02: 14155
1165: 8.01: 12690
907: 8.01: 17100
1154: 8.01: 7304
464: 8.01: 14952
1380: 7.99: 19548
703: 7.98: 13959
980: 7.98: 7740
117: 7.97: 10175
919: 7.96: 6930
1079: 7.96: 7072
528: 7.96: 5952
541: 7.95: 8272
313: 7.94: 16245
1518: 7.94: 20416
376: 7.93: 9988
479: 7.93: 8385
563: 7.92: 6216
774: 7.9: 12005
650: 7.88: 8370
415: 7.88: 11640
618: 7.88: 5600
721: 7.86: 9485
374: 7.83: 6407
153: 7.83: 14144
1410: 7.82: 6536
742: 7.8: 12350
1346: 7.77: 10105
851: 7.76: 9030
836: 7.75: 5428
877: 7.74: 8374
529: 7.74: 10074
878: 7.74: 9724
913: 7.74: 7476
1029: 7.74: 8736
1254: 7.73: 14680
1116: 7.73: 11377
375: 7.72: 8931
1250: 7.71: 10368
1086: 7.69: 10365
816: 7.69: 10992
924: 7.69: 14040
1372: 7.69: 10458
1237: 7.68: 13750
834: 7.67: 10656
915: 7.67: 12341
49: 7.66: 17238
824: 7.64: 10550
992: 7.64: 9486
787: 7.64: 5662
1241: 7.62: 12516
1463: 7.62: 8118
600: 7.62: 9471
1416: 7.62: 12788
24: 7.6: 10726
619: 7.59: 10575
555: 7.59: 12960
1540: 7.59: 14432
418: 7.58: 14536
1368: 7.57: 19525
1019: 7.56: 11968
385: 7.55: 5148
1493: 7.55: 16632
191: 7.54: 12054
882: 7.54: 12201
1142: 7.54: 11800
922: 7.53: 12950
853: 7.52: 12804
261: 7.52: 12844
789: 7.51: 12670
125: 7.51: 9737
756: 7.5: 13393
1499, 1056: 1.52: 4891
890, 191: 1.37: 5715
890, 1410, 1493: 0.91: 4876
890, 1493, 191: 0.88: 5681
1399, 1426: 0.86: 5680
916, 379, 922: 0.78: 5532
890, 1410, 191: 0.61: 5301
1077, 721: 0.56: 4892
890, 1410, 1493, 191: 0.54: 6885
1472, 1389, 819: 0.43: 4851
1399, 1426, 1043, 217: 0.4: 5128
988, 1281: 0.36: 5826
1472, 170: 0.35: 4860
502, 968, 415: 0.28: 5152
1210, 844, 1493: 0.27: 5114
1118, 502, 968: 0.26: 4873
1118, 502, 415: 0.23: 6014
988, 772: 0.23: 7188
1118, 502, 968, 415: 0.16: 6910
1104, 1470, 1174, 1180, 1380: 0.16: 4853
988, 1281, 772: 0.15: 7378
1362, 946, 742: 0.09: 4827
604, 321, 49, 1314: 0.03: 4922
545, 219, 422, 1098, 479, 1254: 0.01: 5030
728, 1310, 528, 1254, 1493: 0.01: 5039
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 1860
 Algorithm run time : 2 seconds
 Peak memory usage : 0.06 MB
